"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Mar-2022","EQ","1,608.00","1,660.00","1,606.35","1,632.05","1,618.95","1,615.15","1,626.43","1,718.20","286.35",428232,"696,488,692.60",21332
"23-Mar-2022","EQ","1,624.00","1,650.00","1,606.80","1,613.60","1,633.30","1,632.05","1,629.08","1,718.20","286.35",455412,"741,901,825.85",22089
"22-Mar-2022","EQ","1,639.95","1,695.00","1,575.00","1,644.60","1,614.75","1,613.60","1,636.94","1,718.20","286.35",1067419,"1,747,303,044.85",55967
"21-Mar-2022","EQ","1,669.00","1,718.20","1,573.00","1,619.05","1,645.00","1,644.60","1,639.06","1,718.20","286.35",2798383,"4,586,714,315.65",125232
"17-Mar-2022","EQ","1,434.00","1,671.80","1,427.80","1,417.40","1,665.10","1,619.05","1,577.43","1,689.00","286.35",6406427,"10,105,682,104.90",153347
"16-Mar-2022","EQ","1,360.00","1,453.00","1,356.00","1,349.50","1,416.25","1,417.40","1,415.62","1,689.00","286.35",1503667,"2,128,622,936.60",52084
"15-Mar-2022","EQ","1,295.00","1,357.60","1,295.00","1,287.70","1,347.75","1,349.50","1,340.10","1,689.00","286.35",855150,"1,145,984,746.55",32133
"14-Mar-2022","EQ","1,306.00","1,317.90","1,258.10","1,296.00","1,285.00","1,287.70","1,287.38","1,689.00","286.35",689130,"887,173,432.75",28180
"11-Mar-2022","EQ","1,294.65","1,320.95","1,289.25","1,284.85","1,293.00","1,296.00","1,308.56","1,689.00","286.35",556778,"728,575,335.80",20277
"10-Mar-2022","EQ","1,319.90","1,335.00","1,274.00","1,273.85","1,296.90","1,284.85","1,309.48","1,689.00","286.35",489860,"641,459,721.65",25813
"09-Mar-2022","EQ","1,291.95","1,291.95","1,256.00","1,268.10","1,276.00","1,273.85","1,274.92","1,689.00","286.35",315586,"402,346,971.35",20479
